,phi,rho,te,s
727,1.1,0.007,6606.810337993357,10000.0
728,1.105,0.007,6749.141388867735,10000.0
729,1.11,0.007,6895.048841986696,10000.0
730,1.115,0.007,7044.622954716869,10000.0
731,1.12,0.007,7197.954652994952,10000.0
732,1.125,0.007,7355.137836194834,10000.0
733,1.13,0.007,7516.271246224174,10000.0
734,1.135,0.007,7681.455612601753,10000.0
735,1.1400000000000001,0.007,7850.796117232433,10000.0
736,1.145,0.007,8024.402576705427,10000.0
737,1.15,0.007,8202.390155845367,10000.0
738,1.155,0.007,8384.881133923594,10000.0
739,1.16,0.007,8572.008074599904,10000.0
740,1.165,0.007,8763.919472601236,10000.0
741,1.17,0.007,8960.789104751637,10000.0
742,1.175,0.007,9162.849940913204,10000.0
743,1.18,0.007,9370.486124136347,10000.0
744,1.185,0.007,9584.680948030358,10000.0
745,1.19,0.007,9814.1089229843,10000.0
746,1.195,0.007,10971.33612222399,10000.0
747,1.2,0.007,11343.454977141833,10000.0
748,1.205,0.007,11666.837707219025,10000.0
749,1.21,0.007,11973.237478296107,10000.0
750,1.215,0.007,12273.424212063717,10000.0
751,1.22,0.007,12572.57799118143,10000.0
752,1.225,0.007,12873.65286690935,10000.0
753,1.23,0.007,13178.519189807826,10000.0
754,1.235,0.007,13488.451595568093,10000.0
755,1.24,0.007,13804.370570851876,10000.0
756,1.245,0.007,14126.972473589254,10000.0
757,1.25,0.007,14456.808698258505,10000.0
758,1.255,0.007,14794.33261502606,10000.0
759,1.26,0.007,15139.932067956901,10000.0
760,1.2650000000000001,0.007,15493.951373390444,10000.0
761,1.27,0.007,15856.703166839909,10000.0
762,1.275,0.007,16228.481717116143,10000.0
763,1.28,0.007,16609.56775097368,10000.0
764,1.2850000000000001,0.007,17000.235514911026,10000.0
765,1.29,0.007,17400.756423052993,10000.0
766,1.295,0.007,17811.399298433527,10000.0
767,1.3,0.007,18232.436306902287,10000.0
768,1.305,0.007,18664.141343827,10000.0
769,1.31,0.007,19106.793104249573,10000.0
770,1.315,0.007,19560.674708677663,10000.0
771,1.32,0.007,20026.07533488188,10000.0
772,1.325,0.007,20503.290991515525,10000.0
773,1.33,0.007,20992.62386842352,10000.0
774,1.335,0.007,21494.38258938424,10000.0
775,1.34,0.007,22008.88398264008,10000.0
776,1.345,0.007,22536.452936742367,10000.0
777,1.35,0.007,23077.421561203955,10000.0
778,1.355,0.007,23632.1308096315,10000.0
779,1.3599999999999999,0.007,24200.929804543135,10000.0
780,1.365,0.007,24784.177456819183,10000.0
781,1.37,0.007,25382.239554477866,10000.0
782,1.375,0.007,25995.49381170126,10000.0
783,1.38,0.007,26624.325521643277,10000.0
784,1.385,0.007,27269.13072917227,10000.0
785,1.3900000000000001,0.007,27930.314759934776,10000.0
786,1.395,0.007,28608.29461749154,10000.0
787,1.4,0.007,29303.495709721883,10000.0
788,1.405,0.007,30016.35610294227,10000.0
789,1.4100000000000001,0.007,30747.3259054547,10000.0
790,1.415,0.007,31496.863295195566,10000.0
791,1.42,0.007,32265.439511632954,10000.0
792,1.425,0.007,33053.53946033266,10000.0
793,1.43,0.007,33861.659042396765,10000.0
794,1.435,0.007,34690.30674146874,10000.0
795,1.44,0.007,35540.002683113904,10000.0
796,1.445,0.007,36411.28206802129,10000.0
797,1.45,0.007,37304.696161324675,10000.0
798,1.455,0.007,38220.80308580747,10000.0
799,1.46,0.007,39160.18063603293,10000.0
800,1.465,0.007,40123.42062146655,10000.0
801,1.47,0.007,41111.12924157041,10000.0
802,1.475,0.007,42123.92743600651,10000.0
803,1.48,0.007,43162.4539874514,10000.0
804,1.4849999999999999,0.007,44227.35883551625,10000.0
805,1.49,0.007,45319.315228860345,10000.0
806,1.495,0.007,46439.00996773647,10000.0
807,1.5,0.007,47587.147998599445,10000.0
808,1.0,0.008,4389.0644099208175,10000.0
809,1.005,0.008,4481.43571790116,10000.0
810,1.01,0.008,4576.138954440067,10000.0
811,1.015,0.008,4673.232990038591,10000.0
812,1.02,0.008,4772.778181421526,10000.0
813,1.025,0.008,4874.836409058273,10000.0
814,1.03,0.008,4979.471115631428,10000.0
815,1.035,0.008,5086.747345475898,10000.0
816,1.04,0.008,5196.731785013965,10000.0
817,1.045,0.008,5309.4928042115835,10000.0
818,1.05,0.008,5425.100499080566,10000.0
819,1.055,0.008,5543.626735254418,10000.0
820,1.06,0.008,5665.145192663762,10000.0
821,1.065,0.008,5789.731411340111,10000.0
822,1.07,0.008,5917.462838375818,10000.0
823,1.075,0.008,6048.422645571458,10000.0
824,1.08,0.008,6182.717349208658,10000.0
825,1.085,0.008,6320.427343316952,10000.0
826,1.09,0.008,6461.637366039883,10000.0
827,1.095,0.008,6606.434733627943,10000.0
828,1.1,0.008,6754.909943936882,10000.0
829,1.105,0.008,6907.1546915338195,10000.0
830,1.11,0.008,7063.264662357491,10000.0
831,1.115,0.008,7223.336959798032,10000.0
832,1.12,0.008,7387.473544130543,10000.0
833,1.125,0.008,7555.7793661388805,10000.0
834,1.13,0.008,7728.363199504707,10000.0
835,1.135,0.008,7905.3385764037375,10000.0
836,1.1400000000000001,0.008,8086.824899644314,10000.0
837,1.145,0.008,8272.94811798896,10000.0
838,1.15,0.008,8463.844320135911,10000.0
839,1.155,0.008,8659.66228901923,10000.0
840,1.16,0.008,8860.576823439165,10000.0
841,1.165,0.008,9066.809076554362,10000.0
842,1.17,0.008,9278.69777282043,10000.0
843,1.175,0.008,9496.987636072601,10000.0
844,1.18,0.008,9725.387195720094,10000.0
845,1.185,0.008,10874.710379463058,10000.0
846,1.19,0.008,11290.035094571444,10000.0
847,1.195,0.008,11632.190874588958,10000.0
848,1.2,0.008,11951.906386839488,10000.0
849,1.205,0.008,12263.380894600388,10000.0
850,1.21,0.008,12572.971508219862,10000.0
851,1.215,0.008,12884.159944739044,10000.0
852,1.22,0.008,13199.091591149629,10000.0
853,1.225,0.008,13519.199320995504,10000.0
854,1.23,0.008,13845.501069757,10000.0
855,1.235,0.008,14178.757719528918,10000.0
856,1.24,0.008,14519.564186563533,10000.0
