,p_e,phi,rho,te,s
1750,0.004080571546736739,1.05,0.5,2563.3593740237643,10000.0
1751,0.004080571546736739,1.1,0.5,3260.101515097334,10000.0
1752,0.004080571546736739,1.15,0.5,4253.355670957001,10000.0
1753,0.004080571546736739,1.2,0.5,14602.727575489207,10000.0
1754,0.004080571546736739,1.25,0.5,19101.80598751937,10000.0
1755,0.004080571546736739,1.3,0.5,24916.812319875917,10000.0
1756,0.004080571546736739,1.35,0.5,32500.93202750965,10000.0
1757,0.004080571546736739,1.4,0.5,42394.22021418093,10000.0
1758,0.004080571546736739,1.45,0.5,55300.035797806224,10000.0
1759,0.004080571546736739,1.5,0.5,72135.99900042619,10000.0
1760,0.004080571546736739,1.0,0.6000000000000001,2035.5052930665581,10000.0
1761,0.004080571546736739,1.05,0.6000000000000001,2563.464493940349,10000.0
1762,0.004080571546736739,1.1,0.6000000000000001,3260.2945545649113,10000.0
1763,0.004080571546736739,1.15,0.6000000000000001,4253.697526809497,10000.0
1764,0.004080571546736739,1.2,0.6000000000000001,14603.253548324486,10000.0
1765,0.004080571546736739,1.25,0.6000000000000001,19102.617548018185,10000.0
1766,0.004080571546736739,1.3,0.6000000000000001,24918.016476169083,10000.0
1767,0.004080571546736739,1.35,0.6000000000000001,32502.67220052382,10000.0
1768,0.004080571546736739,1.4,0.6000000000000001,42396.70273104861,10000.0
1769,0.004080571546736739,1.45,0.6000000000000001,55303.53484379138,10000.0
1770,0.004080571546736739,1.5,0.6000000000000001,72140.92734500044,10000.0
1771,0.004080571546736739,1.0,0.7000000000000001,2035.5052930665581,10000.0
1772,0.004080571546736739,1.05,0.7000000000000001,2563.537832649976,10000.0
1773,0.004080571546736739,1.1,0.7000000000000001,3260.426744872295,10000.0
1774,0.004080571546736739,1.15,0.7000000000000001,4253.922101716508,10000.0
1775,0.004080571546736739,1.2,0.7000000000000001,14603.617298155836,10000.0
1776,0.004080571546736739,1.25,0.7000000000000001,19103.170646767856,10000.0
1777,0.004080571546736739,1.3,0.7000000000000001,24918.84200496963,10000.0
1778,0.004080571546736739,1.35,0.7000000000000001,32503.85360855061,10000.0
1779,0.004080571546736739,1.4,0.7000000000000001,42398.403767260425,10000.0
1780,0.004080571546736739,1.45,0.7000000000000001,55305.9440889509,10000.0
1781,0.004080571546736739,1.5,0.7000000000000001,72144.30468492149,10000.0
1782,0.004080571546736739,1.0,0.8,2035.5052930665581,10000.0
1783,0.004080571546736739,1.05,0.8,2563.5899424556683,10000.0
1784,0.004080571546736739,1.1,0.8,3260.520103548121,10000.0
1785,0.004080571546736739,1.15,0.8,4254.082576184182,10000.0
1786,0.004080571546736739,1.2,0.8,14603.865341024908,10000.0
1787,0.004080571546736739,1.25,0.8,19103.550592140615,10000.0
1788,0.004080571546736739,1.3,0.8,24919.398318543506,10000.0
1789,0.004080571546736739,1.35,0.8,32504.679369574467,10000.0
1790,0.004080571546736739,1.4,0.8,42399.57768210902,10000.0
1791,0.004080571546736739,1.45,0.8,55307.61796123176,10000.0
1792,0.004080571546736739,1.5,0.8,72146.66564979861,10000.0
1793,0.004080571546736739,1.0,0.9,2035.5052930665581,10000.0
1794,0.004080571546736739,1.05,0.9,2563.6291567406197,10000.0
1795,0.004080571546736739,1.1,0.9,3260.581360856502,10000.0
1796,0.004080571546736739,1.15,0.9,4254.189286440022,10000.0
1797,0.004080571546736739,1.2,0.9,14604.029104211517,10000.0
1798,0.004080571546736739,1.25,0.9,19103.7992890836,10000.0
1799,0.004080571546736739,1.3,0.9,24919.76990268715,10000.0
1800,0.004080571546736739,1.35,0.9,32505.21501659022,10000.0
1801,0.004080571546736739,1.4,0.9,42400.34831602138,10000.0
1802,0.004080571546736739,1.45,0.9,55308.709544168276,10000.0
1803,0.004080571546736739,1.5,0.9,72148.20123669434,10000.0
1804,0.004080571546736739,1.0,1.0,2035.5052930665581,10000.0
1805,0.004080571546736739,1.05,1.0,2563.685447539036,10000.0
1806,0.004080571546736739,1.1,1.0,3260.6351001335547,10000.0
1807,0.004080571546736739,1.15,1.0,4254.247897485133,10000.0
1808,0.004080571546736739,1.2,1.0,14604.114221867294,10000.0
1809,0.004080571546736739,1.25,1.0,19103.92148623563,10000.0
1810,0.004080571546736739,1.3,1.0,24919.948911909512,10000.0
1811,0.004080571546736739,1.35,1.0,32505.480877976956,10000.0
1812,0.004080571546736739,1.4,1.0,42400.715284556594,10000.0
1813,0.004080571546736739,1.45,1.0,55309.22928653796,10000.0
1814,0.004080571546736739,1.5,1.0,72148.93181547782,10000.0
1815,0.005318295896944989,1.0,0.0,2718.7284138159225,10000.0
1816,0.005318295896944989,1.05,0.0,2718.7284138159225,10000.0
1817,0.005318295896944989,1.1,0.0,2718.7284138159225,10000.0
1818,0.005318295896944989,1.15,0.0,2718.7284138159225,10000.0
1819,0.005318295896944989,1.2,0.0,2718.7284138159225,10000.0
1820,0.005318295896944989,1.25,0.0,2718.7284138159225,10000.0
