,p_e,phi,rho,te,s
293,0.000169865,1.35,0.4,44942.31557,10000
294,0.000169865,1.4,0.4,59387.24906,10000
295,0.000169865,1.45,0.4,78485.53584,10000
296,0.000169865,1.5,0.4,103738.9089,10000
297,0.000169865,1,0.5,195.7663903,400.6826824
298,0.000169865,1.05,0.5,976.0258495,983.9795713
299,0.000169865,1.1,0.5,3792.420593,2747.65168
300,0.000169865,1.15,0.5,9077.485514,5501.427914
301,0.000169865,1.2,0.5,19447.87438,10000
302,0.000169865,1.25,0.5,25779.08507,10000
303,0.000169865,1.3,0.5,34061.17254,10000
304,0.000169865,1.35,0.5,45007.96015,10000
305,0.000169865,1.4,0.5,59480.79332,10000
306,0.000169865,1.45,0.5,78617.48159,10000
307,0.000169865,1.5,0.5,103923.6159,10000
308,0.000169865,1,0.6,195.7663903,400.6826824
309,0.000169865,1.05,0.6,983.2094462,988.7409383
310,0.000169865,1.1,0.6,3799.883321,2749.907514
311,0.000169865,1.15,0.6,9087.715283,5502.727285
312,0.000169865,1.2,0.6,19461.68399,10000
313,0.000169865,1.25,0.6,25800.02168,10000
314,0.000169865,1.3,0.6,34092.0821,10000
315,0.000169865,1.35,0.6,45052.67559,10000
316,0.000169865,1.4,0.6,59544.52043,10000
317,0.000169865,1.45,0.6,78707.40432,10000
318,0.000169865,1.5,0.6,104049.5317,10000
319,0.000169865,1,0.7,195.7663903,400.6826824
320,0.000169865,1.05,0.7,988.4895191,992.2267673
321,0.000169865,1.1,0.7,3805.394943,2751.565563
322,0.000169865,1.15,0.7,9095.275372,5503.678539
323,0.000169865,1.2,0.7,19471.92552,10000
324,0.000169865,1.25,0.7,25815.55255,10000
325,0.000169865,1.3,0.7,34115.00935,10000
326,0.000169865,1.35,0.7,45085.83219,10000
327,0.000169865,1.4,0.7,59591.78063,10000
328,0.000169865,1.45,0.7,78774.07762,10000
329,0.000169865,1.5,0.7,104142.9195,10000
330,0.000169865,1,0.8,195.7663903,400.6826824
331,0.000169865,1.05,0.8,992.696488,994.9969783
332,0.000169865,1.1,0.8,3809.809421,2752.893153
333,0.000169865,1.15,0.8,9101.33427,5504.440654
334,0.000169865,1.2,0.8,19480.13475,10000
335,0.000169865,1.25,0.8,25827.99606,10000
336,0.000169865,1.3,0.8,34133.38981,10000
337,0.000169865,1.35,0.8,45112.39843,10000
338,0.000169865,1.4,0.8,59629.69054,10000
339,0.000169865,1.45,0.8,78827.53377,10000
340,0.000169865,1.5,0.8,104217.7214,10000
341,0.000169865,1,0.9,195.7663903,400.6826824
342,0.000169865,1.05,0.9,996.4285843,997.4489409
343,0.000169865,1.1,0.9,3813.74034,2754.073153
344,0.000169865,1.15,0.9,9106.755715,5505.13059
345,0.000169865,1.2,0.9,19487.45418,10000
346,0.000169865,1.25,0.9,25839.09994,10000
347,0.000169865,1.3,0.9,34149.78316,10000
348,0.000169865,1.35,0.9,45136.13512,10000
349,0.000169865,1.4,0.9,59663.53891,10000
350,0.000169865,1.45,0.9,78875.27595,10000
351,0.000169865,1.5,0.9,104284.5756,10000
352,0.000169865,1,1,195.7663903,400.6826824
353,0.000169865,1.05,1,1004.892139,1003.069017
354,0.000169865,1.1,1,3822.503114,2756.792889
355,0.000169865,1.15,1,9118.658624,5506.70486
356,0.000169865,1.2,1,19503.40015,10000
357,0.000169865,1.25,1,25863.27541,10000
358,0.000169865,1.3,1,34185.48288,10000
359,0.000169865,1.35,1,45187.80215,10000
360,0.000169865,1.4,1,59737.22158,10000
361,0.000169865,1.45,1,78979.36795,10000
362,0.000169865,1.5,1,104430.4775,10000
363,0.000221388,1,0,194.5936897,401.1457234
364,0.000221388,1.05,0,194.5936897,401.1457234
365,0.000221388,1.1,0,194.5936897,401.1457234
366,0.000221388,1.15,0,194.5936897,401.1457234
367,0.000221388,1.2,0,194.5936897,401.1457234
368,0.000221388,1.25,0,194.5936897,401.1457234
369,0.000221388,1.3,0,194.5936897,401.1457234
370,0.000221388,1.35,0,194.5936897,401.1457234
371,0.000221388,1.4,0,194.5936897,401.1457234
372,0.000221388,1.45,0,194.5936897,401.1457234
373,0.000221388,1.5,0,194.5936897,401.1457234
374,0.000221388,1,0.1,194.5936897,401.1457234
375,0.000221388,1.05,0.1,723.2713899,798.7529933
376,0.000221388,1.1,0.1,2931.16517,2228.902282
377,0.000221388,1.15,0.1,7055.167158,4439.087746
378,0.000221388,1.2,0.1,18017.14601,10000
379,0.000221388,1.25,0.1,23891.9654,10000
380,0.000221388,1.3,0.1,31437.92227,10000
381,0.000221388,1.35,0.1,41375.69222,10000
382,0.000221388,1.4,0.1,54469.86473,10000
383,0.000221388,1.45,0.1,71725.07643,10000
384,0.000221388,1.5,0.1,94465.95993,10000
385,0.000221388,1,0.2,194.5936897,401.1457234
386,0.000221388,1.05,0.2,811.8590577,861.2342906
387,0.000221388,1.1,0.2,3016.100413,2254.929084
388,0.000221388,1.15,0.2,7168.999016,4452.762116
389,0.000221388,1.2,0.2,18173.13312,10000
390,0.000221388,1.25,0.2,24127.69866,10000
391,0.000221388,1.3,0.2,31785.356,10000
392,0.000221388,1.35,0.2,41877.30821,10000
393,0.000221388,1.4,0.2,55183.64757,10000
394,0.000221388,1.45,0.2,72730.21307,10000
